player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Geuri Lubo,702895,last_45,A,22.8,Myrtle Beach Pelicans,Total,MB,- - -,,,21,73,90,17,10,5,0,2,15,12,13,0,18,2,2,0,1,3,1,.233,14.4%,20.0%,.722,.356,.384,.739,.151,,.273,,12.4,-0.3,.339,98
Haminton Mendez,702898,last_45,ACL,22.1,ACL Angels,Total,A-ANG,- - -,,,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0%,50.0%,.000,.000,.000,.000,.000,,.000,,-0.2,-0.6,.000,-69
Wilfredo Lara,702906,last_45,A+,22.3,Beloit Sky Carp,Total,BEL,- - -,,,22,65,80,17,9,5,0,3,11,12,13,0,20,2,0,0,2,5,0,.262,16.2%,25.0%,.650,.400,.477,.877,.215,,.333,,14.6,3.1,.396,127
Dillon Head,702977,last_45,A+,21.8,Beloit Sky Carp,Total,BEL,- - -,,,29,119,131,38,25,8,3,2,20,10,9,0,20,3,0,0,1,16,3,.319,6.9%,15.3%,.450,.382,.487,.869,.168,,.371,,23.1,4.3,.388,123
Antonio Anderson,702995,last_45,A+,21.1,Greenville Drive,Total,GVL,- - -,,,28,100,111,36,21,8,2,5,19,20,9,0,24,2,0,0,2,0,1,.360,8.1%,21.6%,.375,.423,.630,1.053,.270,,.437,,25.6,9.5,.461,159
Alejandro Urias,703060,last_45,FCL,24.1,FCL Mets,Total,F-MET,- - -,,,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,33.3%,0.0%,,.667,.500,1.167,.000,,.500,,0.9,0.4,.540,186
Cristhian Vaquero,703143,last_45,FCL,21.9,FCL Nationals,Total,F-NAT,- - -,,,15,45,48,9,7,2,0,0,5,4,1,0,13,1,0,0,0,5,1,.200,2.1%,27.1%,.077,.234,.244,.478,.044,,.281,,2.6,-5.0,.222,34
Ryan Reckley,703144,last_45,ACL,21.9,ACL Giants,Total,A-GIA,- - -,,,15,42,49,10,10,0,0,0,5,5,5,0,15,1,0,1,0,1,0,.238,10.2%,30.6%,.333,.333,.238,.571,.000,,.370,,4.9,-3.5,.279,59
Roderick Arias,703149,last_45,A+,21.9,Hudson Valley Renegades,Total,HV,- - -,,,35,130,150,44,27,9,1,7,23,29,17,0,43,0,3,0,1,12,5,.338,11.3%,28.7%,.395,.407,.585,.991,.246,,.446,,31.1,9.4,.431,143
William Bergolla Jr.,703151,last_45,ACL,21.8,ACL White Sox,Total,A-WSX,- - -,,,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.000,0.0%,0.0%,,.500,.000,.500,.000,,.000,,0.3,0.0,.371,101
