player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Michael Watson,828594,last_7,AA,24.0,Springfield Cardinals,Total,SPR,- - -,0,0,0,1.80,0,0,0,1.2,12,4,3,2,0,3,0,0,0,0,3,16.20,16.20,1.00,.00,25.0%,25.0%,0.0%,.444,4.20,,,5.02
Logan Berrier,828603,last_7,A+,25.3,West Michigan Whitecaps,Total,WM,- - -,0,0,0,22.50,0,0,0,2.0,18,5,6,5,0,6,0,0,4,1,2,9.00,27.00,.33,.00,11.1%,33.3%,-22.2%,.417,5.50,,,11.00
Jack Nedrow,828616,last_7,A,23.7,Dunedin Blue Jays,Total,DUN,- - -,0,0,0,.00,0,0,1,3.0,10,1,0,0,0,0,0,0,0,0,3,9.00,.00,,.00,30.0%,0.0%,30.0%,.100,.33,,,1.49
Samuel Bello,828658,last_7,DSL,21.6,DSL Arizona Black,Total,D-ARB,- - -,0,0,1,2.25,0,0,0,2.2,18,5,6,6,1,3,0,1,2,1,5,16.88,1.12,1.67,3.38,27.8%,16.7%,11.1%,.357,3.00,,,1.33
Kenny Leiner,828666,last_7,A,24.9,Delmarva Shorebirds,Total,DEL,- - -,0,0,0,.00,0,0,1,0.1,2,0,0,0,0,0,0,1,0,0,1,27.00,.00,,.00,50.0%,0.0%,50.0%,.000,.00,,,6.03
Brent Francisco,828671,last_7,A,25.0,Fort Myers Mighty Mussels,Total,FTM,- - -,0,0,0,.00,0,0,0,1.1,4,1,0,0,0,0,0,0,0,0,2,13.50,.00,,.00,50.0%,0.0%,50.0%,.250,.75,,,.49
Jagger Beck,828672,last_7,A,19.5,Fayetteville Woodpeckers,Total,FAY,- - -,0,0,0,3.00,0,0,0,3.0,13,3,1,1,0,1,0,0,3,0,5,15.00,3.00,5.00,.00,38.5%,7.7%,30.8%,.250,1.33,,,.70
Alberto Toribio,828703,last_7,DSL,19.9,DSL Royals Fortuna,Total,D-ROF,- - -,1,0,0,.00,0,0,0,4.0,14,3,0,0,0,1,0,0,0,0,5,11.25,2.25,5.00,.00,35.7%,7.1%,28.6%,.231,1.00,,,2.95
Tanner Gillis,828705,last_7,AA,25.8,Biloxi Shuckers,Total,BLX,- - -,1,1,0,3.00,0,0,0,6.0,22,4,2,2,1,0,0,0,0,0,7,1.50,.00,,1.50,31.8%,0.0%,31.8%,.182,.67,,,2.93
Geremias Pena,828709,last_7,DSL,19.6,DSL Arizona Red,Total,D-ARR,- - -,0,1,0,3.60,0,0,0,5.0,22,4,3,2,0,2,0,2,1,0,10,18.00,3.60,5.00,.00,45.5%,9.1%,36.4%,.222,1.20,,,3.10
